dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 11:56:38,Volkswagen_T3_andere,privat,Offer,1990,test,bus,1981,manuell,50,transporter,5000,Jan,Gasoline,volkswagen,No,2016-03-09 00:00:00,87471,2016-03-10 07:44:33,2016,2016,March,March,1,7,35,11
2016-03-26 15:38:12,VW_t5_kastenwagen,privat,Offer,6450,test,bus,2008,manuell,84,transporter,150000,Nov,Other,volkswagen,No,2016-03-26 00:00:00,44623,2016-04-06 03:17:37,2016,2016,March,March,11,3,8,1
2016-03-20 13:54:32,Volkswagen_vw_t4_Einzelstueck,privat,Offer,4699,test,bus,1996,manuell,110,transporter,150000,Aug,Gasoline,volkswagen,No,2016-03-20 00:00:00,79713,2016-03-25 13:45:30,2016,2016,March,March,5,13,20,4
2016-04-01 22:49:08,Volkswagen_T5_Transporter,privat,Offer,8500,test,bus,2007,manuell,131,transporter,150000,Nov,Diesel,volkswagen,No,2016-04-01 00:00:00,17291,2016-04-05 21:45:06,2016,2016,April,April,4,21,9,1
2016-03-10 23:55:39,Volkswagen_Touran_1.9_TDI_DPF_Navi_PDC_Tempomat_AHK_TÜV_Neu,privat,Offer,8999,test,bus,2007,manuell,105,touran,90000,Feb,Diesel,volkswagen,No,2016-03-10 00:00:00,26689,2016-03-17 09:16:40,2016,2016,March,March,7,9,9,10
2016-03-25 15:56:48,Volkswagen_Golf_Plus_1.6_Goal,privat,Offer,4900,test,bus,2006,manuell,102,golf,150000,Aug,Gasoline,volkswagen,Yes,2016-03-25 00:00:00,4288,2016-04-06 20:16:54,2016,2016,March,March,12,20,10,4
2016-03-23 17:59:12,Sharan_dti,privat,Offer,3400,control,bus,2000,manuell,0,sharan,150000,Oct,Diesel,volkswagen,No,2016-03-23 00:00:00,38259,2016-03-29 13:16:19,2016,2016,March,March,6,13,16,2
2016-03-09 18:53:31,VW_Touran___1.9_Diesel___6_Gang_Getriebe,privat,Offer,3400,test,bus,2003,manuell,100,touran,150000,Jan,Diesel,volkswagen,Other,2016-03-09 00:00:00,41061,2016-03-26 04:45:31,2016,2016,March,March,17,4,13,11
2016-03-15 18:50:28,VW_Golf_Plus_DPF_140_PS_Rentnerfahrzeug,privat,Offer,5500,control,bus,2006,manuell,140,golf,150000,Aug,Diesel,volkswagen,No,2016-03-15 00:00:00,87656,2016-04-04 18:45:12,2016,2016,March,March,20,18,10,4
2016-03-17 14:52:07,Volkswagen_T2_Bus,privat,Offer,10000,control,bus,1976,Unspecified,0,transporter,5000,Jan,Gasoline,volkswagen,Other,2016-03-17 00:00:00,73479,2016-03-19 14:21:08,2016,2016,March,March,2,14,40,11
2016-03-27 14:51:02,Volkswagen_Golf_Plus_DSG_Navi,privat,Offer,5600,control,bus,2008,automatik,140,golf,150000,Jul,Diesel,volkswagen,No,2016-03-27 00:00:00,42281,2016-04-07 11:45:06,2016,2016,March,March,11,11,8,5
2016-04-02 17:54:29,VW_Touran_1.9_TDI_United,privat,Offer,5800,control,bus,2007,manuell,105,Other,150000,Nov,Diesel,volkswagen,Yes,2016-04-02 00:00:00,31319,2016-04-04 15:47:39,2016,2016,April,April,2,15,9,1
2016-03-09 23:52:02,Sharan_1.9tdi_2_hand_tempomat_pdc_dvd,privat,Offer,3600,test,bus,2003,manuell,131,sharan,150000,Nov,Diesel,volkswagen,No,2016-03-09 00:00:00,50354,2016-03-11 17:15:52,2016,2016,March,March,2,17,13,1
2016-03-11 18:44:15,Volkswagen_Touran_1.6_TDI_DPF_Comfortline,privat,Offer,12950,test,bus,2011,manuell,105,touran,100000,May,Diesel,volkswagen,No,2016-03-11 00:00:00,66386,2016-04-01 22:44:41,2016,2016,March,March,21,22,5,7
2016-03-20 16:44:16,VW_Sharan_Family_1.9_TDI,privat,Offer,4000,test,bus,2001,manuell,115,sharan,150000,Jan,Diesel,volkswagen,No,2016-03-20 00:00:00,26603,2016-03-27 04:44:28,2016,2016,March,March,7,4,15,11
2016-04-02 19:36:58,Volkswagen_Caddy_TDI_9K9AN6,privat,Offer,2500,control,bus,1998,manuell,90,caddy,150000,Oct,Diesel,volkswagen,No,2016-04-02 00:00:00,53498,2016-04-06 19:44:30,2016,2016,April,April,4,19,18,2
2016-03-05 15:41:11,Volkswagen_Multivan_T4_2_4_L_Diesel_Camper_Drehsitz_Bett,privat,Offer,2700,control,bus,1992,manuell,60,transporter,150000,Jul,Diesel,volkswagen,No,2016-03-05 00:00:00,22301,2016-03-10 12:45:24,2016,2016,March,March,5,12,24,5
2016-03-25 14:50:45,Volkswagen_krankentransport_T5_7JD103/WF2/ZP1_Autm.,privat,Offer,7800,control,bus,2006,automatik,131,transporter,150000,Apr,Diesel,volkswagen,No,2016-03-25 00:00:00,63067,2016-04-07 08:44:25,2016,2016,March,March,13,8,10,8
2016-04-05 10:36:53,Touran_1.9_TDI_105_Ps_Familienauto,privat,Offer,4500,control,bus,2004,manuell,105,touran,150000,Apr,Diesel,volkswagen,No,2016-04-05 00:00:00,66839,2016-04-07 13:16:13,2016,2016,April,April,2,13,12,8
2016-03-21 14:49:56,Sehr_schoener_gepflegter_VW_Touran_1.4,privat,Offer,13500,control,bus,2010,manuell,140,touran,70000,Jan,Other,volkswagen,Other,2016-03-21 00:00:00,36145,2016-04-06 12:15:30,2016,2016,March,March,16,12,6,11
2016-04-03 21:37:24,VW_T5_Multivan_1.9_TDI,privat,Offer,9500,test,bus,2005,manuell,109,transporter,150000,Jun,Diesel,volkswagen,No,2016-04-03 00:00:00,32423,2016-04-05 22:18:18,2016,2016,April,April,2,22,11,6
2016-03-31 10:36:17,Volkswagen_Golf_Plus_1.6_Tour_Edition_/_Scheckheft_/_1_Hand,privat,Offer,5997,control,bus,2007,manuell,102,golf,150000,Aug,Gasoline,volkswagen,No,2016-03-31 00:00:00,30179,2016-04-06 04:17:06,2016,2016,March,March,6,4,9,4
2016-03-12 19:36:18,VW_Touran_1_6_Benzin___mit_Prins_Gasanlage_LPG__tanken_fuer_52Cent,privat,Offer,5500,test,bus,2006,manuell,102,touran,150000,Jul,Lpg,volkswagen,No,2016-03-12 00:00:00,23611,2016-03-20 00:44:57,2016,2016,March,March,8,0,10,5
2016-03-31 21:58:03,Volkswagen_Golf_Plus_1.6_TDI_DPF_Style,privat,Offer,12999,test,bus,2011,manuell,105,golf,70000,Oct,Diesel,volkswagen,No,2016-03-31 00:00:00,86529,2016-04-06 18:44:58,2016,2016,March,March,6,18,5,2
2016-03-19 08:36:43,Volkswagen_Multivan_T4_TDI_7DC_UY2,privat,Offer,5900,test,bus,1997,manuell,102,transporter,150000,Jun,Diesel,volkswagen,Yes,2016-03-19 00:00:00,41199,2016-03-29 19:18:15,2016,2016,March,March,10,19,19,6
