dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 12:46:39,Volkswagen_Eos_2.0_FSI,privat,Offer,9800,test,cabrio,2006,manuell,150,eos,60000,Nov,Gasoline,volkswagen,No,2016-03-16 00:00:00,47198,2016-04-06 07:16:16,2016,2016,March,March,21,7,10,1
2016-03-07 17:52:07,Volkswagen_Golf_Cabrio,privat,Offer,2222,test,cabrio,1991,manuell,98,golf,150000,Mar,Gasoline,volkswagen,No,2016-03-07 00:00:00,17495,2016-04-06 13:17:11,2016,2016,March,March,30,13,25,9
2016-04-04 17:44:53,Volkswagen_Golf_4_Cabrio_2.0l_Benzin,privat,Offer,2400,test,cabrio,2001,Unspecified,115,golf,150000,Aug,Gasoline,volkswagen,No,2016-04-04 00:00:00,47533,2016-04-06 19:18:03,2016,2016,April,April,2,19,15,4
2016-03-21 23:53:36,Golf_Cabrio,privat,Offer,1480,test,cabrio,2000,manuell,74,golf,150000,Jun,Gasoline,volkswagen,Other,2016-03-21 00:00:00,19246,2016-04-05 14:17:54,2016,2016,March,March,15,14,16,6
2016-03-31 11:25:20,Volkswagen_Eos_2.0_TDI_DPF,privat,Offer,8700,test,cabrio,2006,manuell,140,eos,150000,Oct,Diesel,volkswagen,No,2016-03-31 00:00:00,63263,2016-04-05 19:46:30,2016,2016,March,March,5,19,10,2
2016-03-27 10:52:55,Volkswagen_Kaefer___Speedster___Dannert_Umbau,privat,Offer,4900,control,cabrio,1973,manuell,44,kaefer,90000,Apr,Gasoline,volkswagen,No,2016-03-27 00:00:00,16567,2016-04-07 06:44:31,2016,2016,March,March,11,6,43,8
2016-03-15 22:55:52,Volkswagen_Eos_2.0_FSI_Individual_Chrom_mit_abnehmbarer_AHK,privat,Offer,13900,control,cabrio,2008,manuell,150,eos,80000,Apr,Gasoline,volkswagen,No,2016-03-15 00:00:00,79664,2016-03-17 02:45:31,2016,2016,March,March,2,2,8,8
2016-04-03 16:58:42,Volkswagen_Golf_Cabrio_1.4_TSI,privat,Offer,18000,control,cabrio,2012,manuell,122,golf,20000,Jun,Gasoline,volkswagen,No,2016-04-03 00:00:00,49124,2016-04-05 16:46:42,2016,2016,April,April,2,16,4,6
2016-04-02 19:53:34,VW_Golf_Cabrio_2.0_Highline_TÜV_Leder_Klima_BBS_elekt._Verdeck,privat,Offer,2799,control,cabrio,1999,automatik,116,golf,150000,Aug,Gasoline,volkswagen,No,2016-04-02 00:00:00,19395,2016-04-06 20:17:24,2016,2016,April,April,4,20,17,4
2016-03-24 19:46:43,Volkswagen_VW_Golf_I_1_Cabrio__Cabriolet____TÜV_bei_Verkauf,privat,Offer,5699,control,cabrio,1987,manuell,90,golf,150000,Aug,Gasoline,volkswagen,No,2016-03-24 00:00:00,9120,2016-04-05 11:49:42,2016,2016,March,March,12,11,29,4
