dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 19:56:48,Volkswagen_Scirocco_1.4_TSI_Sport,privat,Offer,10400,control,coupe,2009,manuell,160,scirocco,100000,Apr,Gasoline,volkswagen,No,2016-04-01 00:00:00,75365,2016-04-05 16:45:49,2016,2016,April,April,4,16,7,8
2016-03-15 14:50:24,Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,Offer,9700,test,coupe,2008,manuell,160,scirocco,150000,Aug,Gasoline,volkswagen,No,2016-03-15 00:00:00,55218,2016-04-06 04:17:09,2016,2016,March,March,22,4,8,4
2016-04-04 09:50:15,Volkswagen_Corrado_1.8_G60,privat,Offer,3500,control,coupe,1991,manuell,160,andere,150000,May,Gasoline,volkswagen,No,2016-04-04 00:00:00,66111,2016-04-06 11:17:02,2016,2016,April,April,2,11,25,7
2016-03-27 12:47:45,VW_Polo_Coupe_86c_1990Bj._125193km,privat,Offer,1200,test,coupe,1990,manuell,45,Other,150000,Jan,Gasoline,volkswagen,Other,2016-03-27 00:00:00,83317,2016-04-07 08:17:08,2016,2016,March,March,11,8,26,11
2016-03-31 15:48:39,Volkswagen_Passat_3c_CC_2.0_TDI_DSG,privat,Offer,11550,control,coupe,2009,automatik,140,passat,125000,Nov,Diesel,volkswagen,No,2016-03-31 00:00:00,26931,2016-03-31 15:48:39,2016,2016,March,March,0,15,7,1
2016-03-09 21:47:40,Volkswagen_Scirocco_1.4_TSI,privat,Offer,11540,test,coupe,2010,manuell,122,scirocco,80000,Jun,Gasoline,volkswagen,No,2016-03-09 00:00:00,95666,2016-04-05 23:46:23,2016,2016,March,March,27,23,6,6
2016-03-06 11:42:02,Golf_Gti_Edition_25,privat,Offer,11500,test,coupe,2001,manuell,179,golf,100000,Aug,Gasoline,volkswagen,No,2016-03-06 00:00:00,94124,2016-03-14 19:16:16,2016,2016,March,March,8,19,15,4
2016-04-01 15:50:10,Volkswagen_Passat_CC_3.6_V6_4Motion_DSG,privat,Offer,14400,test,coupe,2008,automatik,299,passat,125000,Aug,Gasoline,volkswagen,No,2016-04-01 00:00:00,79650,2016-04-07 13:50:11,2016,2016,April,April,6,13,8,4
2016-03-12 21:48:51,"Volkswagen_Scirocco_1.4_TSI_Navi_Xenon_19""_Alus_Kamera_uvm!",privat,Offer,15700,test,coupe,2012,manuell,160,scirocco,50000,Aug,Gasoline,volkswagen,No,2016-03-12 00:00:00,13435,2016-04-05 17:21:29,2016,2016,March,March,24,17,4,4
2016-04-01 18:58:18,Volkswagen_CC_3.6_V6_4_Motion___Navi___Xenon___Leder___DSG,privat,Offer,8790,control,coupe,2010,automatik,299,cc,100000,Jun,Gasoline,volkswagen,Yes,2016-04-01 00:00:00,23909,2016-04-01 18:58:18,2016,2016,April,April,0,18,6,6
2016-03-16 08:56:55,Volkswagen_Scirocco,privat,Offer,12899,test,coupe,2010,manuell,122,scirocco,100000,Apr,Gasoline,volkswagen,No,2016-03-16 00:00:00,38312,2016-04-06 01:44:58,2016,2016,March,March,21,1,6,8
2016-03-07 22:54:11,Polo_86c_coupe,privat,Offer,500,test,coupe,1991,manuell,45,polo,150000,Jan,Gasoline,volkswagen,Other,2016-03-07 00:00:00,34128,2016-03-17 04:16:02,2016,2016,March,March,10,4,25,11
2016-03-28 18:54:54,Volkswagen_Scirocco_2.0_TDI_Match,privat,Offer,19199,control,coupe,2012,manuell,170,scirocco,60000,Apr,Diesel,volkswagen,No,2016-03-28 00:00:00,93458,2016-04-07 01:16:03,2016,2016,March,March,10,1,4,8
2016-03-15 15:44:52,Volkswagen_Scirocco_2.0_TSI_DSG,privat,Offer,15000,control,coupe,2012,automatik,211,scirocco,70000,Mar,Gasoline,volkswagen,No,2016-03-15 00:00:00,34587,2016-03-22 16:46:19,2016,2016,March,March,7,16,4,9
