dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 16:54:04,GOLF_4_1_4__3TÜRER,privat,Offer,1500,test,kleinwagen,2001,manuell,75,golf,150000,Jul,Gasoline,volkswagen,No,2016-03-17 00:00:00,91074,2016-03-17 17:40:17,2016,2016,March,March,0,17,15,5
2016-03-17 10:53:50,VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,privat,Offer,999,test,kleinwagen,1998,manuell,101,golf,150000,Jan,Other,volkswagen,Other,2016-03-17 00:00:00,27472,2016-03-31 17:17:06,2016,2016,March,March,14,17,18,11
2016-03-08 01:36:42,Volkswagen_Polo,privat,Offer,800,control,kleinwagen,1993,manuell,0,polo,150000,Mar,Gasoline,volkswagen,No,2016-03-08 00:00:00,8258,2016-04-05 23:46:00,2016,2016,March,March,28,23,23,9
2016-03-20 18:53:27,Polo_6n_Karosse_zu_verschenken,privat,Offer,0,test,kleinwagen,1999,Unspecified,0,Other,5000,Jan,Gasoline,volkswagen,Other,2016-03-20 00:00:00,37520,2016-04-07 02:45:22,2016,2016,March,March,18,2,17,11
2016-03-27 12:59:00,Volkswagen_Golf_3,privat,Offer,1000,test,kleinwagen,1996,manuell,75,golf,150000,Mar,Gasoline,volkswagen,No,2016-03-27 00:00:00,38640,2016-04-01 12:45:50,2016,2016,March,March,5,12,20,9
2016-03-17 13:47:55,Golf_3_75PS_Klima_Schiebedach,privat,Offer,500,control,kleinwagen,1994,manuell,75,golf,150000,Mar,Gasoline,volkswagen,No,2016-03-17 00:00:00,23879,2016-03-28 14:45:17,2016,2016,March,March,11,14,22,9
2016-03-11 19:50:22,VW_Lupo_1_0_l_Tuev_6/2017_viele_Neuteile_verbaut,privat,Offer,1200,test,kleinwagen,2002,manuell,45,lupo,150000,Sep,Gasoline,volkswagen,No,2016-03-11 00:00:00,38707,2016-03-20 07:18:49,2016,2016,March,March,9,7,14,3
2016-04-04 17:48:29,VW_Polo_Coupe_86c_in_rot__guter_Zustand__alltagsauto,privat,Offer,370,test,kleinwagen,1992,manuell,54,polo,125000,Oct,Gasoline,volkswagen,No,2016-04-04 00:00:00,30926,2016-04-04 17:48:29,2016,2016,April,April,0,17,24,2
2016-03-30 21:39:12,Volkswagen_6n,privat,Offer,950,test,kleinwagen,1995,manuell,54,polo,150000,May,Gasoline,volkswagen,No,2016-03-30 00:00:00,34270,2016-04-05 11:45:31,2016,2016,March,March,6,11,21,7
2016-03-25 08:52:58,vw_golf_3_90ps_lederausstattung,privat,Offer,300,control,kleinwagen,1993,manuell,90,golf,150000,Aug,Gasoline,volkswagen,Other,2016-03-25 00:00:00,27412,2016-04-04 06:22:54,2016,2016,March,March,10,6,23,4
2016-03-27 21:50:59,Volkswagen_Lupo_1.4_TDI,privat,Offer,1690,test,kleinwagen,2001,manuell,75,lupo,150000,May,Diesel,volkswagen,No,2016-03-27 00:00:00,45147,2016-04-01 23:44:57,2016,2016,March,March,5,23,15,7
2016-03-30 21:38:18,LUPO_1.0_LPG_super_sparsam___8fach_bereift___TÜV_NEU_bis_03/2018!,privat,Offer,1600,test,kleinwagen,2003,manuell,50,lupo,150000,Mar,Gasoline,volkswagen,No,2016-03-30 00:00:00,55543,2016-04-05 11:45:25,2016,2016,March,March,6,11,13,9
2016-03-10 17:58:38,Golf_3_mit_gas_Anlage,privat,Offer,950,control,kleinwagen,1997,manuell,0,golf,150000,Jun,Other,volkswagen,No,2016-03-10 00:00:00,53639,2016-03-23 16:21:38,2016,2016,March,March,13,16,19,6
2016-03-26 22:56:11,Volkswagen_Fox_1.2__KLIMA,privat,Offer,3400,test,kleinwagen,2006,manuell,54,fox,70000,Jun,Gasoline,volkswagen,No,2016-03-26 00:00:00,33790,2016-04-07 01:46:35,2016,2016,March,March,12,1,10,6
2016-03-24 21:50:08,Vw_beetle_highline_2_0_l_lederausstattung_+++,privat,Offer,2500,test,kleinwagen,2000,manuell,115,beetle,150000,Jan,Gasoline,volkswagen,No,2016-03-24 00:00:00,7987,2016-04-05 17:17:10,2016,2016,March,March,12,17,16,11
2016-03-11 18:38:42,VW_Polo_1.2_*sehr_gepflegter_Zustand*,privat,Offer,2950,test,kleinwagen,2004,manuell,54,polo,90000,Nov,Gasoline,volkswagen,Other,2016-03-11 00:00:00,41812,2016-03-12 23:16:58,2016,2016,March,March,1,23,12,1
2016-04-01 21:46:55,Vw_polo_tuf_04_2016,privat,Offer,120,test,kleinwagen,1995,manuell,0,polo,150000,Jan,Gasoline,volkswagen,Other,2016-04-01 00:00:00,68309,2016-04-01 21:46:55,2016,2016,April,April,0,21,21,11
2016-03-19 07:51:18,Vw_lupo_1.0_klima_servo_1_Jahr_TÜV,privat,Offer,1000,test,kleinwagen,2000,manuell,50,lupo,150000,Feb,Gasoline,volkswagen,No,2016-03-19 00:00:00,65824,2016-04-06 23:46:32,2016,2016,March,March,18,23,16,10
2016-03-23 20:52:50,VW_Polo_1.2_Trendline_Klima/_Scheckheftgepflegt/_TÜV_NEU,privat,Offer,4490,test,kleinwagen,2008,manuell,60,polo,100000,Nov,Gasoline,volkswagen,No,2016-03-23 00:00:00,1993,2016-03-29 16:45:23,2016,2016,March,March,6,16,8,1
2016-03-08 16:56:07,VW_Fox_2.Hand_1.2__112820_Km_Original__Scheckheft_VW__TÜV_08/2016,privat,Offer,2390,test,kleinwagen,2007,manuell,54,andere,125000,Aug,Gasoline,volkswagen,No,2016-03-08 00:00:00,45326,2016-03-10 12:16:19,2016,2016,March,March,2,12,9,4
2016-03-06 19:48:31,Volkswagen_Polo_45,privat,Offer,500,control,kleinwagen,1996,manuell,45,polo,150000,Jan,Gasoline,volkswagen,No,2016-03-06 00:00:00,19303,2016-03-12 14:17:34,2016,2016,March,March,6,14,20,11
2016-04-01 09:37:51,VW_Golf_4_1_4l_2001_vollfahrbereit_mit_TÜV,privat,Offer,1000,test,kleinwagen,2001,manuell,75,golf,150000,Jan,Gasoline,volkswagen,No,2016-04-01 00:00:00,31061,2016-04-07 06:46:15,2016,2016,April,April,6,6,15,11
2016-04-01 23:52:38,Volkswagen_Fox_1.2_Tuev_NEU_8_fach_bereit_Klima_elekt_FH,privat,Offer,3250,control,kleinwagen,2011,manuell,60,fox,100000,Jun,Gasoline,volkswagen,No,2016-04-01 00:00:00,4758,2016-04-06 03:17:40,2016,2016,April,April,5,3,5,6
