dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 18:46:09,Volvo_480_Collection_Nr._457,privat,Offer,800,test,coupe,1995,manuell,109,andere,150000,Aug,Gasoline,volvo,No,2016-03-14 00:00:00,10318,2016-04-06 02:46:41,2016,2016,March,March,23,2,21,4
2016-03-07 16:59:40,Volvo_C30_D2_RDesign_Edition,privat,Offer,11800,control,coupe,2012,manuell,114,c_reihe,90000,Jan,Diesel,volvo,No,2016-03-07 00:00:00,29229,2016-04-06 00:45:50,2016,2016,March,March,30,0,4,11
2016-03-15 22:50:18,Volvo_C_70_Coupé_2.4_T_Automatik_1._Hd._Scheckheftgepflegt,privat,Offer,5650,control,coupe,1998,automatik,239,c_reihe,150000,Jul,Gasoline,volvo,No,2016-03-15 00:00:00,13357,2016-04-07 10:16:36,2016,2016,March,March,23,10,18,5
2016-03-16 20:44:50,Volvo_Amazon,privat,Offer,7777,control,coupe,1966,manuell,63,andere,5000,Jul,Other,volvo,Other,2016-03-16 00:00:00,42281,2016-04-07 06:45:52,2016,2016,March,March,22,6,50,5
2016-03-31 11:06:25,Volvo_480_S_2_0_Collection__Klima__Leder__Airbag__Autogas_LPG,privat,Offer,777,control,coupe,1995,manuell,109,andere,150000,Aug,Lpg,volvo,No,2016-03-31 00:00:00,65594,2016-04-05 19:46:28,2016,2016,March,March,5,19,21,4
2016-03-05 16:46:50,Volvo_C30_1.8,privat,Offer,6200,control,coupe,2007,manuell,125,c_reihe,125000,Jul,Gasoline,volvo,No,2016-03-05 00:00:00,48155,2016-03-12 17:48:46,2016,2016,March,March,7,17,9,5
2016-03-18 16:37:19,Volvo_c30_t5,privat,Offer,8900,test,coupe,2010,manuell,220,andere,90000,Feb,Gasoline,volvo,No,2016-03-18 00:00:00,82008,2016-04-05 22:18:49,2016,2016,March,March,18,22,6,10
2016-03-10 11:55:24,Volvo_C30_D,privat,Offer,6300,test,coupe,2007,manuell,139,c_reihe,150000,Oct,Other,volvo,No,2016-03-10 00:00:00,74821,2016-03-17 18:17:07,2016,2016,March,March,7,18,9,2
2016-03-24 19:46:09,Volvo_Amazon,privat,Offer,5500,control,coupe,1964,manuell,75,andere,125000,Feb,Gasoline,volvo,No,2016-03-24 00:00:00,85417,2016-03-29 05:46:29,2016,2016,March,March,5,5,52,10
2016-03-27 11:57:20,Volvo_C30_1.6_Coupé,privat,Offer,8500,test,coupe,2009,manuell,101,c_reihe,30000,Jul,Gasoline,volvo,No,2016-03-27 00:00:00,22299,2016-04-07 07:46:28,2016,2016,March,March,11,7,7,5
