dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 12:53:29,Volvo_v40_mit_klima,privat,Offer,300,test,kombi,1998,manuell,0,v40,150000,Jun,Gasoline,volvo,No,2016-03-16 00:00:00,47137,2016-03-25 10:18:16,2016,2016,March,March,9,10,18,6
2016-03-09 17:25:18,Volvo_V40__8_fach_bereift_TÜV_neu,privat,Offer,999,test,kombi,1999,manuell,115,v40,150000,Apr,Gasoline,volvo,No,2016-03-09 00:00:00,56579,2016-03-16 23:15:32,2016,2016,March,March,7,23,17,8
2016-03-15 09:49:11,Volvo_V50_2_0D_Kintec,privat,Offer,4200,control,kombi,2006,manuell,136,v50,150000,Nov,Diesel,volvo,No,2016-03-15 00:00:00,91257,2016-04-05 09:16:46,2016,2016,March,March,21,9,10,1
2016-03-08 12:54:44,Volvo_V70_2.4_Ideal_fuer_die_Familie!_Laderaumwunder!,privat,Offer,2750,test,kombi,2001,manuell,140,v70,150000,May,Gasoline,volvo,Yes,2016-03-08 00:00:00,45478,2016-03-20 01:47:52,2016,2016,March,March,12,1,15,7
2016-03-27 22:53:37,Volvo_V40_T4,privat,Offer,500,test,kombi,1998,manuell,200,v40,150000,Oct,Gasoline,volvo,Yes,2016-03-27 00:00:00,26899,2016-03-28 00:40:02,2016,2016,March,March,1,0,18,2
2016-03-23 22:53:53,Volvo_V70_2.5T,privat,Offer,600,test,kombi,1997,manuell,193,v70,150000,Feb,Gasoline,volvo,Yes,2016-03-23 00:00:00,87647,2016-04-06 13:17:19,2016,2016,March,March,14,13,19,10
2016-03-14 16:52:26,Volvo_940_GL_Kombi_Automatik_Anhaengerkupplung_1._Hand_Neue_Reife,privat,Offer,900,test,kombi,1993,automatik,131,andere,150000,Jan,Gasoline,volvo,No,2016-03-14 00:00:00,37073,2016-03-15 11:46:24,2016,2016,March,March,1,11,23,11
2016-03-05 18:48:39,Volvo_V70_2.4_Aut.,privat,Offer,6150,test,kombi,2004,automatik,170,v70,150000,Nov,Gasoline,volvo,No,2016-03-05 00:00:00,88662,2016-04-05 11:48:29,2016,2016,March,March,31,11,12,1
2016-03-30 21:56:28,Volvo_V70_D5_Aut._Momentum,privat,Offer,12499,test,kombi,2007,automatik,185,v70,150000,Nov,Diesel,volvo,No,2016-03-30 00:00:00,25337,2016-04-05 12:20:43,2016,2016,March,March,6,12,9,1
2016-03-16 18:52:57,Volvo_V50_2.0D,privat,Offer,3960,control,kombi,2004,manuell,136,v50,150000,Sep,Diesel,volvo,No,2016-03-16 00:00:00,25821,2016-03-19 17:19:21,2016,2016,March,March,3,17,12,3
2016-03-23 11:41:58,Gebrauchter_Volvo_V70,privat,Offer,2000,test,kombi,1998,manuell,144,v70,150000,Sep,Gasoline,volvo,Yes,2016-03-23 00:00:00,25436,2016-04-07 12:16:44,2016,2016,March,March,15,12,18,3
2016-04-03 13:51:01,Volvo_V70_D5_DPF_Aut._136_KW,privat,Offer,3000,control,kombi,2006,automatik,185,v70,150000,Nov,Diesel,volvo,Yes,2016-04-03 00:00:00,51145,2016-04-05 12:46:30,2016,2016,April,April,2,12,10,1
