dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 14:58:15,Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,privat,Offer,8000,test,suv,2005,manuell,185,xc_reihe,150000,Aug,Diesel,volvo,Other,2016-03-29 00:00:00,96472,2016-04-03 23:18:17,2016,2016,March,March,5,23,11,4
2016-03-26 14:38:43,XC_90_D5_SPORT_DYNAUDIO_7_SITZE_1.HAND_S_HEFT,privat,Offer,10000,control,suv,2008,automatik,185,xc_reihe,90000,Jan,Diesel,volvo,No,2016-03-26 00:00:00,10115,2016-03-26 14:38:43,2016,2016,March,March,0,14,8,11
2016-03-29 15:58:23,Volvo_XC90_2.5T_AWD_schwarz__guter_Zustand__Zahnriehmen_neu,privat,Offer,8900,control,suv,2005,automatik,209,xc_reihe,150000,Jan,Gasoline,volvo,No,2016-03-29 00:00:00,84533,2016-04-06 02:15:50,2016,2016,March,March,8,2,11,11
2016-03-29 18:36:21,Volvo_XC60_D5_AWD_Kinetic,privat,Offer,16890,control,suv,2009,manuell,185,xc_reihe,150000,May,Diesel,volvo,No,2016-03-29 00:00:00,78462,2016-04-06 04:16:07,2016,2016,March,March,8,4,7,7
2016-03-06 16:39:22,Volvo_XC60_2.4D_AWD_Leder_AHK,privat,Offer,14990,test,suv,2009,manuell,163,xc_reihe,150000,Mar,Diesel,volvo,No,2016-03-06 00:00:00,79576,2016-04-06 21:17:13,2016,2016,March,March,31,21,7,9
2016-03-14 03:48:30,Top_ausgestatteter_XC_60__SUMMUM___scheckheftgepflegt_bei_Volvo!,privat,Offer,16850,test,suv,2010,manuell,175,xc_reihe,150000,May,Diesel,volvo,No,2016-03-13 00:00:00,50858,2016-04-07 03:17:36,2016,2016,March,March,25,3,6,7
2016-03-19 12:49:57,Volvo_XC90_3.2_Aut._Executive,privat,Offer,15250,test,suv,2008,automatik,238,xc_reihe,100000,Jul,Gasoline,volvo,No,2016-03-19 00:00:00,10553,2016-04-02 18:16:08,2016,2016,March,March,14,18,8,5
2016-03-31 00:38:52,Volvo_XC90_Service_TÜV_fast_neu,privat,Offer,6499,control,suv,2004,manuell,209,xc_reihe,150000,Sep,Gasoline,volvo,Other,2016-03-30 00:00:00,1454,2016-03-31 06:42:29,2016,2016,March,March,1,6,12,3
2016-03-14 14:51:08,Volvo_XC60_2.4D_AWD_Aut._Momentum,privat,Offer,17777,control,suv,2010,automatik,163,xc_reihe,150000,Feb,Diesel,volvo,No,2016-03-14 00:00:00,72213,2016-03-29 09:18:12,2016,2016,March,March,15,9,6,10
2016-04-05 12:38:56,Volvo_XC90_V8_RDesign,privat,Offer,19999,test,suv,2008,automatik,315,xc_reihe,150000,Apr,Gasoline,volvo,No,2016-04-05 00:00:00,69115,2016-04-05 12:38:56,2016,2016,April,April,0,12,8,8
2016-03-22 15:59:04,Volvo_XC90_D5_Aut._Summum_Tuev_neu_Sehr_gepflegt_!!!,privat,Offer,12000,control,suv,2006,automatik,185,xc_reihe,150000,May,Diesel,volvo,No,2016-03-22 00:00:00,78628,2016-04-06 05:45:46,2016,2016,March,March,15,5,10,7
2016-03-08 11:40:29,Volvo_XC60_2.4_DRIVe_FWD_Momentum,privat,Offer,17500,control,suv,2010,manuell,175,xc_reihe,100000,Mar,Diesel,volvo,Other,2016-03-08 00:00:00,90431,2016-04-07 07:44:39,2016,2016,March,March,30,7,6,9
2016-03-17 19:55:34,XC_90_D5_SPORT_DYNAUDIO_7_SITZE_1.HAND_S_HEFT,privat,Offer,10000,control,suv,2008,automatik,185,xc_reihe,90000,Jan,Diesel,volvo,No,2016-03-17 00:00:00,10115,2016-03-17 19:55:34,2016,2016,March,March,0,19,8,11
2016-03-23 16:51:19,XC_90_D5_SPORT_DYNAUDIO_7_SITZE_1.HAND_S_HEFT,privat,Offer,10000,test,suv,2008,automatik,185,xc_reihe,90000,Jan,Diesel,volvo,No,2016-03-23 00:00:00,10115,2016-03-23 16:51:19,2016,2016,March,March,0,16,8,11
2016-03-29 16:51:51,Volvo_XC60_2.4D_DRIVe_Momentum,privat,Offer,16900,control,suv,2009,manuell,175,xc_reihe,80000,Jun,Diesel,volvo,No,2016-03-29 00:00:00,13507,2016-04-06 02:44:59,2016,2016,March,March,8,2,7,6
2016-03-18 10:37:04,Volvo_xc70_D5_Vollauslastung,privat,Offer,7350,control,suv,2005,automatik,163,xc_reihe,150000,Mar,Diesel,volvo,No,2016-03-18 00:00:00,24536,2016-04-01 23:47:54,2016,2016,March,March,14,23,11,9
2016-03-29 17:45:55,Volvo_XC90_D5_Automatik,privat,Offer,5100,control,suv,2004,automatik,163,xc_reihe,150000,Jan,Diesel,volvo,No,2016-03-29 00:00:00,45897,2016-03-29 17:45:55,2016,2016,March,March,0,17,12,11
2016-03-30 22:55:47,Volvo_XC70_D5_AWD_Aut._Summum_AHK_Navi,privat,Offer,12700,control,suv,2006,automatik,184,xc_reihe,150000,Jun,Diesel,volvo,No,2016-03-30 00:00:00,33758,2016-04-05 17:45:21,2016,2016,March,March,6,17,10,6
2016-03-15 14:59:49,Volvo_XC60_XC60_D5_AWD_Aut._Summum,privat,Offer,19400,control,suv,2009,automatik,185,xc_reihe,90000,Feb,Diesel,volvo,Other,2016-03-15 00:00:00,65201,2016-04-06 04:17:09,2016,2016,March,March,22,4,7,10
